Valid,at,Lon,Lat,Wind,Winddir,Wind-sea,Swell,Swelldir,Swellperiod,SWH,MWH,Current,SST
13-SEP-2024,06,93.20,16.00,14.99,WSW,1.83,0.514,SSW,11.9,1.90,3.61,0.87,29.02
13-SEP-2024,12,93.20,16.00,15.45,WSW,1.80,0.494,SSW,11.8,1.87,3.56,0.73,29.07
13-SEP-2024,18,93.20,16.00,15.15,WSW,1.76,0.490,SSW,11.2,1.83,3.48,0.37,29.01
14-SEP-2024,00,93.20,16.00,12.06,WSW,1.75,0.505,SSW,10.8,1.82,3.46,0.41,28.96
14-SEP-2024,06,93.20,16.00,9.690,SSW,1.71,0.543,SSW,14.3,1.79,3.41,0.73,29.02
14-SEP-2024,12,93.20,16.00,17.89,WSW,1.77,0.559,SSW,14.3,1.86,3.54,0.90,29.09
14-SEP-2024,18,93.20,16.00,17.00,WSW,1.89,0.556,SSW,14.3,1.97,3.75,0.72,29.04
15-SEP-2024,00,93.20,16.00,15.18,WSW,1.94,0.555,SSW,13.5,2.01,3.83,0.55,28.99
15-SEP-2024,06,93.20,16.00,17.06,WSW,1.93,0.585,SSW,13.1,2.02,3.84,0.59,29.08
15-SEP-2024,12,93.20,16.00,14.25,WSW,1.81,0.607,SSW,13.1,1.91,3.64,0.63,29.14
13-SEP-2024,00,66.00,12.00,13.81,WSW,1.75,0.867,SSW,10.2,1.95,3.71,0.01,27.45
13-SEP-2024,06,66.00,12.00,14.19,WSW,1.71,0.895,SSW,10.2,1.93,3.68,0.21,27.45
13-SEP-2024,12,66.00,12.00,14.24,WSW,1.70,0.916,SSW,10.2,1.93,3.68,0.34,27.47
13-SEP-2024,18,66.00,12.00,13.73,WSW,1.71,0.879,SSW,10.1,1.92,3.65,0.39,27.46
14-SEP-2024,00,66.00,12.00,14.28,WSW,1.74,0.875,SSW,10.2,1.94,3.70,0.37,27.44
14-SEP-2024,06,66.00,12.00,14.37,WSW,1.76,0.890,SSW,10.2,1.97,3.75,0.39,27.43
14-SEP-2024,12,66.00,12.00,16.90,WSW,1.81,0.930,WSW,10.1,2.04,3.87,0.29,27.45
14-SEP-2024,18,66.00,12.00,14.10,WSW,1.82,0.959,WSW,10.1,2.06,3.92,0.27,27.44
15-SEP-2024,00,66.00,12.00,14.44,WSW,1.83,1.033,WSW,10.1,2.10,4.00,0.16,27.43
15-SEP-2024,06,66.00,12.00,12.97,WSW,1.79,1.067,WSW,10.1,2.08,3.96,0.17,27.44
15-SEP-2024,12,66.00,12.00,14.12,WSW,1.75,1.053,WSW,10.1,2.04,3.89,0.23,27.49
13-SEP-2024,00,66.00,12.00,13.81,WSW,1.75,0.867,SSW,10.2,1.95,3.71,0.01,27.45
13-SEP-2024,06,66.00,12.00,14.19,WSW,1.71,0.895,SSW,10.2,1.93,3.68,0.21,27.45
13-SEP-2024,12,66.00,12.00,14.24,WSW,1.70,0.916,SSW,10.2,1.93,3.68,0.34,27.47
13-SEP-2024,18,66.00,12.00,13.73,WSW,1.71,0.879,SSW,10.1,1.92,3.65,0.39,27.46
14-SEP-2024,00,66.00,12.00,14.28,WSW,1.74,0.875,SSW,10.2,1.94,3.70,0.37,27.44
14-SEP-2024,06,66.00,12.00,14.37,WSW,1.76,0.890,SSW,10.2,1.97,3.75,0.39,27.43
14-SEP-2024,12,66.00,12.00,16.90,WSW,1.81,0.930,WSW,10.1,2.04,3.87,0.29,27.45
14-SEP-2024,18,66.00,12.00,14.10,WSW,1.82,0.959,WSW,10.1,2.06,3.92,0.27,27.44
15-SEP-2024,00,66.00,12.00,14.44,WSW,1.83,1.033,WSW,10.1,2.10,4.00,0.16,27.43
15-SEP-2024,06,66.00,12.00,12.97,WSW,1.79,1.067,WSW,10.1,2.08,3.96,0.17,27.44
15-SEP-2024,12,66.00,12.00,14.12,WSW,1.75,1.053,WSW,10.1,2.04,3.89,0.23,27.49
13-SEP-2024,00,79.60,12.00,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
